TestRunStatus,ExecutionDate,Document Key,Name,Assigned To
PASSED,2024-09-16,KCE-TSTRN-3574254,Pre-triggered - Person in PIT - triggering device extented - Inspection mode OFF,Harini Sri
FAILED,2024-01-23,KCE-TSTRN-3509615,Pre-triggered - Person in PIT - triggering device extented - Inspection mode ON - H3 OFF,Harini Sri
PASSED,2024-01-23,KCE-TSTRN-3509589,Pre-triggered - No person in PIT,Harini Sri
PASSED,2024-09-16,KCE-TSTRN-3574266,Pre-triggered - No person in PIT,Harini Sri
FAILED,2024-01-23,KCE-TSTRN-3509578,Pre-triggered - Person in PIT - triggering device extented - Inspection mode ON - H3 ON,Harini Sri
FAILED,2024-01-24,KCE-TSTRN-3509599,Pre-triggered - Rush test - PIT and Car top - Person detected both pit and car top ,Harini Sri
FAILED,2024-09-18,KCE-TSTRN-3574276,Pre-triggered - Rush test - PIT and Car top - Person detected both pit and car top ,Harini Sri
PASSED,2024-02-01,KCE-TSTRN-3509965,Configurations - Duplex group,ARUN KUMAR
PASSED,2024-02-02,KCE-TSTRN-3509966,Configurations - Triplex group,ARUN KUMAR
PASSED,2024-02-06,KCE-TSTRN-3510337,1.EPS G Parameter Setting ,Vivek
INPROGRESS,2024-02-12,KCE-TSTRN-3510504,Elevator features - FPO A - Full Collective Peel Off Automatic Feature - FPO feature in group elevators,Shrividhya
PASSED,2024-02-06,KCE-TSTRN-3510295,2.EPS G I/O Configuration,Vivek
PASSED,2024-02-23,KCE-TSTRN-3531860,Provocative tests - From the passenger perspective,Badaganti Sai Prasad
PASSED,2024-02-13,KCE-TSTRN-3531876,Basic - ILA Blink at allocation and constant at deceleration,Badaganti Sai Prasad
INPROGRESS,2024-02-06,KCE-TSTRN-3510307,3.EPS G Emergency sequencing by Group controller using its inbuilt sequencer - Single lift sequence Scenario,Vivek
PASSED,2024-02-14,KCE-TSTRN-3531840,3.EPS G Emergency sequencing by Group controller using its inbuilt sequencer - Single lift sequence Scenario,Vivek
